"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1","P",0,100,0,100
"AEBP2_EED_EZH2_RBBP4_SUZ12","",0,0,100,-100
"AHR","M",0,100,0,100
"AKT1","",0,100,0,100
"ATF1","M",0,100,0,100
"ATF4","M",0,100,0,100
"ATRX","P",0,0,100,-100
"CASP6","",0,100,0,100
"CBFB","P",75,25,0,25
"CCND3_CDK6","P",81.25,18.75,0,18.75
"CDK10","P",0,0,100,-100
"CEBPB","M",0,100,0,100
"CEBPE","P",0,100,0,100
"CEBPG","M",0,100,0,100
"CLK4","P",0,100,0,100
"CSNK2A2","P",0,100,0,100
"CTNNB1","",0,100,0,100
"DCAF1","P",39.5833333333333,60.4166666666667,0,60.4166666666667
"DLX5","M",0,100,0,100
"DPF2","P",77.0833333333333,6.25,16.6666666666667,-10.4166666666667
"DUSP19","P",0,0,100,-100
"DUSP23","P",83.3333333333333,0,16.6666666666667,-16.6666666666667
"DUSP9","P",62.5,37.5,0,37.5
"E2F1","M",0,100,0,100
"E2F3","M",0,100,0,100
"E2F4","M",0,100,0,100
"EGR1","M",0,100,0,100
"EGR2","M",0,100,0,100
"ENC1","P",0,0,100,-100
"EPAS1","M",0,100,0,100
"ETS1","M",0,100,0,100
"ETS2","M",0,100,0,100
"EWSR1","M",0,100,0,100
"EZH2","M",0,100,0,100
"FLI1","M",0,100,0,100
"FOS","M",0,100,0,100
"FOXM1","M",0,100,0,100
"GABPA","M",0,100,0,100
"GATA2","M",0,100,0,100
"GATA3","M",0,100,0,100
"GATA6","M",0,100,0,100
"GLRX","P",0,100,0,100
"GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y","P",0,100,0,100
"GSK3B","",0,0,100,-100
"GTF2I","",0,100,0,100
"HIF1A","M",0,100,0,100
"HIPK1","P",0,0,100,-100
"HMGA1","M",0,100,0,100
"HNF1A","M",0,100,0,100
"HSF1","M",0,100,0,100
"IRF1","M",0,100,0,100
"JARID2","P",0,0,100,-100
"JDP2","M",0,0,100,-100
"JUN","M",0,100,0,100
"JUNB","M",0,100,0,100
"KAT6A","P",79.1666666666667,18.75,2.08333333333333,16.6666666666667
"KAT6A_KAT6B","P",79.1666666666667,20.8333333333333,0,20.8333333333333
"KDM5B","M",0,100,0,100
"KLF5","M",0,100,0,100
"KLHL22","P",2.08333333333333,97.9166666666667,0,97.9166666666667
"LATS1","",0,0,100,-100
"MAPK3","",0,100,0,100
"MAPK8","",0,0,100,-100
"MEF2A","M",0,100,0,100
"MITF","M",0,100,0,100
"MTF1","M",0,100,0,100
"MYB","M",0,100,0,100
"MYC","M",0,100,0,100
"NANOG","M",0,100,0,100
"NCOA3","M",0,100,0,100
"NFATC1","M",0,100,0,100
"NFATC2","M",0,100,0,100
"NFE2L2","M",0,100,0,100
"NFKB1","M",0,100,0,100
"NFKB2","M",0,100,0,100
"NFYA","M",0,100,0,100
"NFYA_NFYB_NFYC","P",97.9166666666667,0,2.08333333333333,-2.08333333333333
"NKRF","P",0,0,100,-100
"NKX2_5","M",0,100,0,100
"NKX3_1","M",0,100,0,100
"NR0B2","P",0,100,0,100
"NR1H3","M",0,100,0,100
"NR2F2","M",0,100,0,100
"NR4A3","M",0,100,0,100
"NR5A1","M",0,100,0,100
"PGR","M",0,100,0,100
"PITX2","M",0,100,0,100
"PLK1","",0,0,100,-100
"POU2AF1","P",0,100,0,100
"POU2F1","M",0,100,0,100
"PPARA","M",0,100,0,100
"PPM1F","P",60.4166666666667,39.5833333333333,0,39.5833333333333
"PRKACA","",0,100,0,100
"PRKCD","",0,0,100,-100
"PTPRB","P",75,25,0,25
"PTPRE","P",66.6666666666667,0,33.3333333333333,-33.3333333333333
"PTPRG","P",0,0,100,-100
"RARA","M",0,100,0,100
"RARB","M",0,100,0,100
"RARG","M",0,100,0,100
"REL","M",0,100,0,100
"RELA","M",0,100,0,100
"REST","M",0,100,0,100
"RIOX1","P",0,0,100,-100
"RPS27A_UBE2H","P",0,0,100,-100
"RUNX1","M",0,100,0,100
"RUNX2","M",0,100,0,100
"SATB1","M",0,100,0,100
"SF1","",0,0,100,-100
"SMAD1","M",0,100,0,100
"SMAD2","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SOX9","M",0,100,0,100
"SP1","M",0,100,0,100
"SP2","P",0,100,0,100
"SP3","M",0,100,0,100
"SP7","M",0,100,0,100
"SPI1","M",0,100,0,100
"SRF","M",0,100,0,100
"SRY","M",0,100,0,100
"STAT2","M",0,100,0,100
"STAT3","M",0,100,0,100
"STK40","P",0,0,100,-100
"TFAP2A","M",0,100,0,100
"TFDP1","M",0,100,0,100
"THEM4","P",0,0,100,-100
"TLX3","P",0,0,100,-100
"TNIK","P",0,0,100,-100
"TP53","M",0,100,0,100
"TP63","M",0,100,0,100
"UHMK1","P",0,0,100,-100
"USF2","M",0,100,0,100
"VDR","M",0,100,0,100
"WT1","M",0,100,0,100
"WWP2","",0,0,100,-100
"YBX1","M",0,100,0,100
"ZC3H12A","P",0,100,0,100
