Common_Nodes,Unique_D0,Unique_D5,Unique_D28,Shared_d5_d28
ACTL6A_ACTL6B_ARID1A_ARID1B_ARID2_PBRM1_SMARCA2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCD2_SMARCD3_SMARCE1,ATF3,AHR,ASCL1,AEBP2_EED_EZH2_RBBP4_SUZ12
ATF1,BIRC6_UBC,CBFB,BCL6,AKT1
ATF4,BRCA1,DCAF1,BIRC6_UBA52,ATRX
CASP6,CDK1,DUSP23,BTRC_CUL1_SKP1,CCND3_CDK6
CEBPB,CDK4,EGR1,CAPN1_CAPNS1,DUSP9
CSNK2A2,CDX2,EGR2,CCND1,E2F4
CTNNB1,CHUK,ENC1,CCND2,EWSR1
DLX5,CRBN_CUL4A_DDB1_RBX1,EZH2,CDC25A,FOS
E2F1,CREBBP,GABPA,CDK5,FOXM1
E2F3,CREBBP_EP300,GATA2,CDK6,GATA6
EPAS1,CUX1,GLRX,CLOCK,GPS2_HDAC3_NCOR1_TBL1XR1_TBL1Y
ETS1,DNMT3B,GTF2I,CSNK1A1,KDM5B
FLI1,EHMT2,HIPK1,CTCF,KLHL22
GATA3,ELK1,HSF1,CUL1_FBXW7_RBX1_SKP1,MAPK3
GSK3B,ESRRA,KAT6A,DNMT3A,MYB
MYC,FBXO45,KAT6A_KAT6B,DTX1,NANOG
NCOA3,FOXO3,LATS1,DUSP10,NFE2L2
NFKB2,HIF1AN,MEF2A,DUSP26,NKRF
NFYA,HMGA2,MTF1,DUSP8,NR2F2
NKX2_5,HUWE1,NFATC2,E2F2,POU2AF1
NKX3_1,MAZ,NFKB1,EP300,POU2F1
NR0B2,MECP2,NFYA_NFYB_NFYC,ERG,PTPRB
NR1H3,MED14,PGR,FAM83B,PTPRE
PLK1,MEF2C,PITX2,FRZB,RELA
RARA,MYCN,PPARA,GLI1,RUNX1
REST,NCOA1,PPM1F,GLI2,RUNX2
SATB1,NFATC4,PRKACA,GSK3A,SF1
SMAD1,NKX2_1,PRKCD,HDAC1,SMAD2
SMAD3,NR1I2,PTPRG,HDLBP,SP3
SP1,NR1I3,REL,HELLS,TFDP1
SRF,NR3C2,RPS27A_UBE2H,HEY1,TLX3
SRY,NR5A2,SOX9,HOXD12,TP63
STK40,PBX1,STAT3,IKZF1,UHMK1
TFAP2A,PDHX,THEM4,IRF3,
VDR,PHIP,TNIK,JAZF1,
WT1,PIM2,WWP2,LDB1,
,PIM3,ZC3H12A,LHX2,
,POU1F1,,MAF,
,PPARGC1A,,MAP3K6,
,PRDM1,,MRTFB,
,PRP4K,,MYBL2,
,PTMS,,MYOD1,
,SIRT1,,NFIC,
,SNAI2,,NR2C2,
,SSRP1,,NRTN,
,TBP,,NSD3,
,TCF3,,PARP1,
,UBC_UBE2Q1,,PATZ1,
,WEE2,,PAX3,
,WWP1,,PFKFB4,
,ZEB1,,PPP2CA_PPP2R5A_PTPA,
,ZNF462,,PRKCH,
,,,RB1,
,,,RET,
,,,RLIM,
,,,RNF4,
,,,RPS27A_UBE2D3,
,,,RPS27A_UBE2E3,
,,,RPS27A_UBE2G2,
,,,RPS27A_UBE2J1,
,,,RPS27A_UBE2L5,
,,,RPS27A_UBE2N,
,,,RPS27A_UBE2Q1,
,,,RPS27A_UBE2Q2,
,,,RPS27A_UBE2R2,
,,,RPS27A_UBE2T,
,,,RPS27A_UBE2V2,
,,,RPS6KA2,
,,,RPS6KA3,
,,,SIX1,
,,,SMAD4,
,,,SMAD5,
,,,SMURF1,
,,,SNAI1,
,,,SOX10,
,,,SREBF1,
,,,SSRP1_SUPT16H,
,,,STAT1,
,,,STAT5A,
,,,STK33,
,,,STK38,
,,,SUMO3,
,,,TCF7L2,
,,,TP73,
,,,UBA52_UBE2A,
,,,UBA52_UBE2G1,
,,,UBA52_UBE2G2,
,,,UBA52_UBE2K,
,,,UBA52_UBE2L5,
,,,UBA52_UBE2L6,
,,,UBA52_UBE2Q1,
,,,UBA52_UBE2R2,
,,,UBB_UBE2A,
,,,UBB_UBE2B,
,,,UBB_UBE2C,
,,,UBB_UBE2E1,
,,,UBB_UBE2E2,
,,,UBB_UBE2E3,
,,,UBB_UBE2G1,
,,,UBB_UBE2I,
,,,UBB_UBE2L5,
,,,UBB_UBE2L6,
,,,UBB_UBE2M,
,,,UBB_UBE2N,
,,,UBB_UBE2V1,
,,,UBB_UBE2Z,
,,,UBC_UBE2C,
,,,UBC_UBE2E2,
,,,UBC_UBE2H,
,,,UBC_UBE2L3,
,,,UBC_UBE2M,
,,,UBC_UBE2R2,
,,,UBC_UBE2T,
,,,UBC_UBE2U,
,,,UBC_UBE2V1,
,,,USP5,
,,,WDR83,
,,,WNT1,
,,,WWTR1,
