"","D0","D5","D28"
"Androgen",0.108343799739415,0.000264933640170936,0.155829117252372
"EGFR",0.000701398296271879,0.00594222304150114,0.687784102392392
"Estrogen",0.000275293153207257,0.00165308464878504,0.665179844239552
"Hypoxia",0.63186611608447,0.164575663243924,0.615920200310086
"JAK-STAT",0.940374054319723,0.0513613225699945,0.086388383358949
"MAPK",0.0274891698553787,0.000611966430590803,0.346274770130659
"NFkB",0.122943137053028,0.0173689305039424,0.263898829911482
"p53",0.153785064496172,0.187712374933067,0.142907311883444
"PI3K",0.232641622011826,0.0523942117879481,0.00129069732184703
"TGFb",0.000129105945621448,0.0160702793159455,0.0120064066554521
"TNFa",0.0805842901077678,0.0131741667162237,0.12410771135592
"Trail",0.0436424068565337,0.341263918304554,0.0350425404416188
"VEGF",0.0555475747168761,0.040151909340948,0.158949474106438
"WNT",0.0224252609793227,0.0000151900704119501,0.165377062282019
